frame,X,Y,Z
0,44.5350,83.3409,70.4117
1,44.5170,83.1942,70.3867
2,44.8208,83.0505,70.3118
3,44.9359,83.1752,70.3354
4,45.0646,83.3959,70.3812
5,45.1844,83.4029,70.4611
6,45.3803,83.3484,70.6088
7,45.5446,83.0638,70.6395
8,45.7324,82.5589,70.6306
9,45.8851,82.3736,70.6136
10,46.0951,84.6943,61.6527
11,46.3097,85.7911,56.2466
12,46.4844,86.2780,52.9256
13,46.6768,86.3995,50.8566
14,46.8554,86.4373,49.6080
15,47.2325,86.5448,48.8450
16,47.5614,86.6831,48.4060
17,47.7785,86.7051,48.2429
18,47.8482,86.6980,48.0632
19,47.8707,86.6214,47.9382
20,47.9261,86.4871,47.9193
21,48.0821,86.5166,47.9357
22,48.1140,86.4973,47.9358
23,48.1928,86.5865,47.9985
24,48.2408,86.6039,48.0276
25,48.3148,86.4792,47.9763
26,48.4220,86.3164,48.0020
27,48.6315,86.2126,48.0564
28,48.8398,86.1877,48.0991
29,48.9885,86.0288,48.0915
30,49.0338,86.0855,48.0837
31,49.0817,86.1198,48.0794
32,49.1344,85.9520,48.0712
33,49.2529,85.7168,47.9983
34,49.4749,85.3256,47.8986
35,49.7783,84.9131,47.8000
36,50.2121,84.6949,47.6376
37,50.5378,84.4206,47.5078
38,50.7162,84.0310,47.4151
39,50.8025,83.7524,47.3867
40,50.8529,83.6573,47.3865
41,50.8809,83.7085,47.4116
42,50.9587,83.8123,47.4448
43,51.0269,83.8389,47.4566
44,51.1296,83.8918,47.4734
45,51.2118,84.0129,47.4286
46,51.2193,84.1294,47.3732
47,51.1641,84.0985,47.2774
48,51.1060,84.3934,47.1787
49,51.0221,84.9303,47.2026
50,51.0513,85.4786,47.2331
51,51.0870,85.8632,47.3407
52,51.1471,86.2388,47.4397
53,51.1209,86.6051,47.3789
54,51.1252,86.8612,47.3512
55,51.0474,86.8694,47.2993
56,50.9978,87.0185,47.3018
57,50.9425,87.4130,47.2980
58,51.0500,87.9044,47.3575
59,51.2635,88.1547,47.2711
60,51.5532,88.5155,47.3091
61,51.7270,88.7319,47.3319
62,51.8313,88.8618,47.3455
63,51.7063,88.9812,47.3224
64,51.4603,89.2666,47.3556
65,51.1199,89.7319,47.4031
66,50.9326,90.2806,47.4187
67,50.9035,90.6112,47.4297
68,51.0286,90.8587,47.5642
69,51.0620,91.1928,47.4974
70,51.0374,91.5370,47.4901
71,50.9803,91.7788,47.4934
72,50.7993,92.0022,47.4732
73,50.5844,92.2428,47.4842
74,50.6212,92.4703,47.4749
75,50.7457,92.7695,47.4329
76,50.8813,93.0222,47.4257
77,50.9605,93.2820,47.4466
78,51.0077,93.5268,47.4039
79,50.9506,93.7806,47.4018
80,50.8722,94.0848,47.3973
81,50.7626,94.3109,47.3657
82,50.9007,94.6662,47.4014
83,51.2123,94.9719,47.3720
84,51.3542,95.2906,47.4232
85,51.3143,95.4798,47.4515
86,51.2222,95.8363,47.5621
87,51.2261,96.2845,47.6081
88,51.2866,96.7707,47.6874
89,51.1762,97.1407,47.7128
90,51.0042,97.4777,47.7151
91,50.9583,97.9333,47.7766
92,50.8416,98.4938,47.8792
93,50.5407,98.9876,47.8977
94,50.3810,99.2842,47.9092
95,50.3863,99.6526,47.9241
96,50.5521,99.9591,48.0698
97,50.6136,99.9621,48.1143
98,50.6116,99.8634,48.0789
99,50.6719,99.7439,48.1587
100,50.7862,99.9260,48.2671
101,50.7665,100.2418,48.4170
102,50.7532,100.5035,48.5238
103,50.8479,100.7342,48.6067
104,51.0275,100.9828,48.6842
105,51.0927,101.2119,48.7106
106,51.1512,101.4217,48.7436
107,51.1213,101.5575,48.8788
108,50.9987,101.6289,48.9940
109,50.8031,101.5255,49.0269
110,50.6455,101.3907,49.0291
111,50.5123,101.1649,48.9959
112,50.4568,100.8494,48.9343
113,50.2398,100.4769,48.8516
114,50.0510,100.1695,48.6674
115,49.8351,99.9112,48.5379
116,49.6182,99.8824,48.5644
117,49.3003,99.7648,48.6679
118,49.2129,99.7319,48.7405
119,49.1224,99.5757,48.7135
120,49.0751,99.2103,48.5579
121,48.9678,98.7734,48.4125
122,48.8205,98.4209,48.3789
123,48.6094,98.0548,48.3586
124,48.5446,97.8722,48.3561
125,48.5444,97.9076,48.3891
126,48.4590,97.9467,48.4878
127,48.4897,98.0436,48.5655
128,48.4456,98.1008,48.6108
129,48.4419,97.9298,48.7046
130,48.4262,97.4663,48.6763
131,48.2944,97.1309,48.5680
132,48.0037,97.0178,48.5962
133,47.8271,97.0581,48.6383
134,47.6169,97.1251,48.6339
135,47.4969,96.9742,48.4726
136,47.3678,96.5413,48.3710
137,47.2502,96.2087,48.2924
138,46.9953,95.8175,48.2356
139,46.8691,95.2946,48.1346
140,46.6686,95.0763,47.9802
141,46.5660,94.9925,48.0130
142,46.4657,94.7973,47.9981
143,46.3281,94.3904,47.9203
144,46.1220,94.0722,47.8544
145,46.0199,93.8455,47.8068
146,45.9596,93.6289,47.7975
